id,name,type,focus,geo,website_or_profile,contact_hint,priority,notes,outreach_status
1,Netpeak,agency,Telegram Ads / Meta / Google / performance,Ukraine,https://netpeak.ua/,Форма на сайте + Telegram Ads reseller,A,Официальный реселлер Telegram Ads UA; топ-1 Ringostat 2025,todo
2,Promodo,agency,Performance / Meta / Google / e-commerce,Ukraine,https://promodo.ua/,Форма на сайте,A,Топ-2 Ringostat; выбор жюри 2025,todo
3,UAMASTER,agency,Telegram Ads / PPC / SEO / paid social,Ukraine,https://uamaster.com/uk-ua/,Форма / +380443002811,A,Топ-3 Ringostat; Telegram Ads от ~€2100,todo
4,Inweb,agency,SEO / PPC / SMM / mobile,Ukraine,https://inweb.ua/,Форма на сайте,A,Топ-4 Ringostat; выбор UDC 2025,todo
5,iProspect Ukraine,agency,Full-funnel digital / media,Ukraine,https://www.iprospect.com/,Через сайт / LinkedIn company,A,Топ-5 Ringostat,todo
6,Webpromo,agency,SEO / PPC / performance,Ukraine,https://webpromo.ua/,Форма на сайте,A,Топ-6 Ringostat,todo
7,Elit-Web,agency,SEO / PPC / analytics / AI,Ukraine,https://elit-web.ua/,Форма на сайте,A,Топ-7 Ringostat; выбор сообщества 2025,todo
8,Ланет CLICK,agency,SMM / PPC / complex digital,Ukraine,https://lanet.click/,Форма на сайте,A,Топ-8 Ringostat,todo
9,MixDigital Agency,agency,Media / full-cycle marketing,Ukraine,https://mixdigital.com.ua/,Форма на сайте,A,Топ-9 Ringostat; IAB media leader,todo
10,ROMAN.UA,agency,Performance / analytics / Google+Meta Partner,Ukraine,https://roman.ua/,Форма на сайте,A,Топ-10 Ringostat,todo
11,mnews.agency,agency,Digital / content / PR-adjacent,Ukraine,https://mnews.agency/,Форма на сайте,B,Топ-11 Ringostat,todo
12,Labgramm,agency,Digital marketing,Ukraine,https://labgramm.com/,Форма на сайте,B,Топ-12 Ringostat,todo
13,OdesSeo,agency,SEO / digital,Ukraine,https://odesseo.com.ua/,Форма на сайте,B,Топ-13 Ringostat,todo
14,WEDEX,agency,SEO / PPC / complex,Ukraine,https://wedex.com.ua/,Форма на сайте,B,Топ-14 Ringostat,todo
15,Турум-бурум,agency,UX / conversion / digital growth,Ukraine,https://turumburum.ua/,Форма на сайте,B,Топ-15 Ringostat; сильный CRO,todo
16,Mavr,agency,Digital marketing,Ukraine,https://mavr.ua/,Форма на сайте,B,Топ-16 Ringostat,todo
